湖北电信,#genre#
CCTV央视文化精品[1920x1080],http://183.17.239.128:8888/udp/239.253.43.13:5146
CCTV央视文化精品[1920x1080],http://183.17.239.128:8888/udp/239.253.43.27:5146
CETV1[1920x1080],http://183.17.239.128:8888/udp/239.77.0.200:5146
CETV1[1920x1080],http://183.17.239.128:8888/udp/239.77.1.222:5146
CETV4[1920x1080],http://183.17.239.128:8888/udp/239.253.43.114:5146
CETV4[1920x1080],http://183.17.239.128:8888/udp/239.253.43.40:5146
CETV4[1920x1080],http://183.17.239.128:8888/udp/239.77.1.200:5146
CETV早期教育[1920x1080],http://183.17.239.128:8888/udp/239.77.0.180:5146
CGTN[1920x1080],http://183.17.239.128:8888/udp/239.77.0.199:5146
CGTN阿拉伯语[1920x1080],http://183.17.239.128:8888/udp/239.253.43.200:5146
CGTN俄罗斯语[1920x1080],http://183.17.239.128:8888/udp/239.253.43.201:5146
CGTN法语[1920x1080],http://183.17.239.128:8888/udp/239.77.0.228:5146
CGTN纪录[1920x1080],http://183.17.239.128:8888/udp/239.253.43.122:5146
CGTN西班牙语[1920x1080],http://183.17.239.128:8888/udp/239.77.0.221:5146
安徽卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.183:5146
安徽卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.157:5146
安徽卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.92:5146
北京卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.91:5146
北京卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.151:5146
北京卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.4:5146
东方卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.98:5146
东方卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.156:5146
东方卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.218:5146
东南卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.146:5146
东南卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.104:5146
甘肃卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.189:5146
广东大湾区卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.215:5146
广东卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.166:5146
广东卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.84:5146
广东卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.152:5146
广东卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.19:5146
广西卫视[1920x1080],http://183.17.239.128:8888/udp/239.253.43.36:5146
广西卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.139:5146
贵州卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.230:5146
贵州卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.221:5146
海南卫视[1920x1080],http://183.17.239.128:8888/udp/239.253.43.101:5146
海南卫视[1920x1080],http://183.17.239.128:8888/udp/239.253.43.35:5146
河北卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.148:5146
河北卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.214:5146
河南卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.17:5146
河南卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.229:5146
黑龙江卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.124:5146
黑龙江卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.93:5146
黑龙江卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.179:5146
黑龙江卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.6:5146
湖北卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.128:5146
湖北卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.95:5146
湖北卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.174:5146
湖北卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.93:5146
湖南卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.127:5146
湖南卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.88:5146
湖南卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.129:5146
湖南卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.5:5146
吉林卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.150:5146
吉林卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.111:5146
江苏卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.126:5146
江苏卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.90:5146
江苏卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.149:5146
江苏卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.18:5146
江西卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.149:5146
江西卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.219:5146
辽宁卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.123:5146
辽宁卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.161:5146
辽宁卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.103:5146
青海卫视[1920x1080],http://183.17.239.128:8888/udp/239.253.43.125:5146
三沙卫视[1920x1080],http://183.17.239.128:8888/udp/239.253.43.113:5146
山东卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.132:5146
山东卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.94:5146
山东卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.142:5146
山东卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.153:5146
深圳卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.130:5146
深圳卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.92:5146
深圳卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.148:5146
深圳卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.3:5146
四川卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.159:5146
四川卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.163:5146
四川卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.215:5146
天津卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.131:5146
天津卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.97:5146
天津卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.141:5146
天津卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.182:5146
云南卫视[1920x1080],http://183.17.239.128:8888/udp/239.253.43.100:5146
云南卫视[1920x1080],http://183.17.239.128:8888/udp/239.253.43.37:5146
浙江卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.125:5146
浙江卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.89:5146
浙江卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.150:5146
浙江卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.33:5146
重庆卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.0.182:5146
重庆卫视[1920x1080],http://183.17.239.128:8888/udp/239.77.1.162:5146
兵团卫视[785x576],http://183.17.239.128:8888/udp/239.77.0.77:5146
兵团卫视[785x576],http://183.17.239.128:8888/udp/239.77.1.80:5146
内蒙古卫视[768x576],http://183.17.239.128:8888/udp/239.77.0.70:5146
内蒙古卫视[785x576],http://183.17.239.128:8888/udp/239.77.1.55:5146
宁夏卫视[768x576],http://183.17.239.128:8888/udp/239.77.0.73:5146
宁夏卫视[785x576],http://183.17.239.128:8888/udp/239.77.1.47:5146
厦门卫视[785x576],http://183.17.239.128:8888/udp/239.77.0.96:5146
山西卫视[768x576],http://183.17.239.128:8888/udp/239.77.0.69:5146
山西卫视[785x576],http://183.17.239.128:8888/udp/239.77.1.74:5146
陕西卫视[768x576],http://183.17.239.128:8888/udp/239.77.0.68:5146
陕西卫视[785x576],http://183.17.239.128:8888/udp/239.77.1.54:5146
西藏卫视[768x576],http://183.17.239.128:8888/udp/239.77.0.74:5146
西藏卫视[785x576],http://183.17.239.128:8888/udp/239.77.1.49:5146
新疆卫视[768x576],http://183.17.239.128:8888/udp/239.77.0.75:5146
新疆卫视[785x576],http://183.17.239.128:8888/udp/239.77.1.53:5146
延边卫视[1024x576],http://183.17.239.128:8888/udp/239.77.0.10:5146
山东教育卫视[1024x576],http://183.17.239.128:8888/udp/239.77.0.83:5146
